nl,prompt,canonical_solution,test
est_Latn,"

def triangle_area(a, h):
    """"""Triangli külje pikkus ja suur pöörde pindala.
    >>> triangle_area(5, 3)
    7.5
    """"""
","    return a * h / 2.0
","def check(candidate):
    assert candidate(5, 3) == 7.5
    assert candidate(2, 2) == 2.0
    assert candidate(10, 8) == 40.0

"
eus_Latn,"
def bf(planet1, planet2):
    '''
Gure eguzki sisteman zortzi planeta daude: Eguzkitik hurbilen dagoena Merkurioa da, hurrengoa Artizarra, gero Lurra, Marte, Jupiter, Saturno, Urano eta Neptuno.
Idatzi funtzio bat bi planeta izen hartzen dituena, string gisa planet1 eta planet2. 
Funtzioak itzuli behar du tupla bat planet1 eta planet2 arteko orbitak dituzten planeta guztiekin, Eguzkitik hurbil dagoenetik ordenatuta.
Funtzioak tupla huts bat itzuli behar du planet1 edo planet2 planeten izen zuzenak ez badira.    Examples
    bf(""Jupiter"", ""Neptune"") ==> (""Saturn"", ""Uranus"")
    bf(""Earth"", ""Mercury"") ==> (""Venus"")
    bf(""Mercury"", ""Uranus"") ==> (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"")
    '''
","    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
","def check(candidate):

    # Check some simple cases
    assert candidate(""Jupiter"", ""Neptune"") == (""Saturn"", ""Uranus""), ""First test error: "" + str(len(candidate(""Jupiter"", ""Neptune"")))      
    assert candidate(""Earth"", ""Mercury"") == (""Venus"",), ""Second test error: "" + str(candidate(""Earth"", ""Mercury""))  
    assert candidate(""Mercury"", ""Uranus"") == (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn""), ""Third test error: "" + str(candidate(""Mercury"", ""Uranus""))      
    assert candidate(""Neptune"", ""Venus"") == (""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus""), ""Fourth test error: "" + str(candidate(""Neptune"", ""Venus""))  


    # Check some edge cases that are easy to work out by hand.
    assert candidate(""Earth"", ""Earth"") == ()
    assert candidate(""Mars"", ""Earth"") == ()
    assert candidate(""Jupiter"", ""Makemake"") == ()

"
ewe_Latn,"

def encode_shift(s: str):
    """"""
    trɔa asi le ŋɔŋlɔdzesi ɖesiaɖe ŋu 5 le alfabeta me tsɔ trɔa asi le ŋɔŋlɔdzesi si wotsɔ de dzesie ŋu.
    """"""
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])


def decode_shift(s: str):
    """"""
    takes as input string encoded with encode_shift function. Returns decoded string.
    """"""
","    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])
","def check(candidate):
    from random import randint, choice
    import copy
    import string

    letters = string.ascii_lowercase
    for _ in range(100):
        str = ''.join(choice(letters) for i in range(randint(10, 20)))
        encoded_str = encode_shift(str)
        assert candidate(copy.deepcopy(encoded_str)) == str

"
fao_Latn,"from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" Filtrar ein inngangslista av stringum bert fyri stringum, sum byrja við einum givnum forfiksi.
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""
","    return [x for x in strings if x.startswith(prefix)]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
"
fij_Latn,"

def monotonic(l: list):
    """"""Dau lesu True kevaka na veika e tu ena lisi e sa tubu tiko se sa lutu sobu tiko.. E dina ni sa tubu tiko se lailai tiko na veika e tiko ena lisi.
    >>> monotonic([1, 2, 4, 20])
    True
    >>> monotonic([1, 20, 4, 10])
    False
    >>> monotonic([4, 1, 0, -10])
    True
    """"""
","    if l == sorted(l) or l == sorted(l, reverse=True):
        return True
    return False
","def check(candidate):
    assert candidate([1, 2, 4, 10]) == True
    assert candidate([1, 2, 4, 20]) == True
    assert candidate([1, 20, 4, 10]) == False
    assert candidate([4, 1, 0, -10]) == True
    assert candidate([4, 1, 1, 0]) == True
    assert candidate([1, 2, 3, 2, 5, 60]) == False
    assert candidate([1, 2, 3, 4, 5, 60]) == True
    assert candidate([9, 9, 9, 9]) == True

"
fin_Latn,"
def decimal_to_binary(decimal):
    """"""Funktiossa on numero, joka on kymmenenumeroinen, ja tehtäväsi on muuntaa se binääriseen muotoon. Funktion pitäisi palauttaa ketju, jossa jokainen merkki edustaa binääristä numeroa. Jokainen merkki on ""0"" tai ""1"". Ketjun alussa ja lopussa on ylimääräinen pari merkkiä ""db"". Ylimääräiset merkkejä ovat olemassa helpottaakseen muotoilua. Esimerkkejä: decimal_to_binary(15) # palauttaa ""db1111db"" decimal_to_binary32) # palauttaa ""db100000db""
    """"""
","    return ""db"" + bin(decimal)[2:] + ""db""
","def check(candidate):

    # Check some simple cases
    assert candidate(0) == ""db0db""
    assert candidate(32) == ""db100000db""
    assert candidate(103) == ""db1100111db""
    assert candidate(15) == ""db1111db"", ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
fon_Latn,"

def sum_to_n(n: int):
    """"""sum_to_n nyí azɔ̀ e nɔ́ sɔ́ nùɖé lɛ́ɛ ɖó kpɔ́ sín 1 jɛ n jí é.
    >>> sum_to_n(30)
    465
    >>> sum_to_n(100)
    5050
    >>> sum_to_n(5)
    15
    >>> sum_to_n(10)
    55
    >>> sum_to_n(1)
    1
    """"""
","    return sum(range(n + 1))
","def check(candidate):
    assert candidate(1) == 1
    assert candidate(6) == 21
    assert candidate(11) == 66
    assert candidate(30) == 465
    assert candidate(100) == 5050

"
fra_Latn,"
def sort_array(array):
    """"""
    Donné un tableau d'entiers non négatifs, renvoyez une copie du tableau donné après le tri, vous trierez le tableau donné dans l'ordre croissant si la somme (la première valeur d'index, la dernière valeur d'index) est impaire, ou le trier dans l'ordre décroissant si la somme (la première valeur d'index, la dernière valeur d'index) est paire.
    """"""
","    return [] if len(array) == 0 else sorted(array, reverse= (array[0]+array[-1]) % 2 == 0) 
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([]) == [], ""Error""
    assert candidate([5]) == [5], ""Error""
    assert candidate([2, 4, 3, 0, 1, 5]) == [0, 1, 2, 3, 4, 5], ""Error""
    assert candidate([2, 4, 3, 0, 1, 5, 6]) == [6, 5, 4, 3, 2, 1, 0], ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate([2, 1]) == [1, 2], ""Error""
    assert candidate([15, 42, 87, 32 ,11, 0]) == [0, 11, 15, 32, 42, 87], ""Error""
    assert candidate([21, 14, 23, 11]) == [23, 21, 14, 11], ""Error""

"
fur_Latn,"
def is_simple_power(x, n):
    """"""Il to compit al è di scrivi une funzion che e torne true se un numar x al è une semplice potence di n e false in altris câs. x al è une semplice potence di n se n**int=x Par esempli: is_simple_power(1, 4) => true is_simple_power(2, 2) => true is_simple_power(8, 2) => true is_simple_power(3, 2) => false is_simple_power(3, 1) false => is_simple_power(5, 3) => false
    """"""
","    if (n == 1): 
        return (x == 1) 
    power = 1
    while (power < x): 
        power = power * n 
    return (power == x) 
","def check(candidate):

    # Check some simple cases
    assert candidate(16, 2)== True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(143214, 16)== False, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(4, 2)==True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(9, 3)==True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(16, 4)==True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(24, 2)==False, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(128, 4)==False, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(12, 6)==False, ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate(1, 1)==True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate(1, 12)==True, ""This prints if this assert fails 2 (also good for debugging!)""

"
fuv_Latn,"from typing import List, Any


def filter_integers(values: List[Any]) -> List[int]:
    """""" Filtir limgal ko hokkata nder ko woni nder Python ngam intejairji tan
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
","    return [x for x in values if isinstance(x, int)]
","def check(candidate):
    assert candidate([]) == []
    assert candidate([4, {}, [], 23.2, 9, 'adasd']) == [4, 9]
    assert candidate([3, 'c', 3, 3, 'a', 'b']) == [3, 3, 3]
"
gaz_Latn,"from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" Seenaa qubee galmeessise keessaa, qubee duraa kennamee jalqabuuf qofa filtaraa.
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""
","    return [x for x in strings if x.startswith(prefix)]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
"
gla_Latn,"
def is_sorted(lst):
    '''
Ma tha liosta de dh'�ireamhan agad, till a bheil iad air an r�iteachadh ann an �rdugh ag �irigh. Ma tha barrachd air aon lethbhreac den aon �ireamh sa liosta, till False. Gabhaidh ris nach eil �ireamhan �icheil ann agus a-mh�in �ireamhan sl�n.
    Examples
    is_sorted([5]) â -> True
    is_sorted([1, 2, 3, 4, 5]) â -> True
    is_sorted([1, 3, 2, 4, 5]) â -> False
    is_sorted([1, 2, 3, 4, 5, 6]) â -> True
    is_sorted([1, 2, 3, 4, 5, 6, 7]) â -> True
    is_sorted([1, 3, 2, 4, 5, 6, 7]) â -> False
    is_sorted([1, 2, 2, 3, 3, 4]) â -> True
    is_sorted([1, 2, 2, 2, 3, 4]) â -> False
    '''
","    count_digit = dict([(i, 0) for i in lst])
    for i in lst:
        count_digit[i]+=1 
    if any(count_digit[i] > 2 for i in lst):
        return False
    if all(lst[i-1] <= lst[i] for i in range(1, len(lst))):
        return True
    else:
        return False
    
    
","def check(candidate):

    # Check some simple cases
    assert candidate([5]) == True
    assert candidate([1, 2, 3, 4, 5]) == True
    assert candidate([1, 3, 2, 4, 5]) == False
    assert candidate([1, 2, 3, 4, 5, 6]) == True
    assert candidate([1, 2, 3, 4, 5, 6, 7]) == True
    assert candidate([1, 3, 2, 4, 5, 6, 7]) == False, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([]) == True, ""This prints if this assert fails 2 (good for debugging!)""
    assert candidate([1]) == True, ""This prints if this assert fails 3 (good for debugging!)""
    assert candidate([3, 2, 1]) == False, ""This prints if this assert fails 4 (good for debugging!)""
    
    # Check some edge cases that are easy to work out by hand.
    assert candidate([1, 2, 2, 2, 3, 4]) == False, ""This prints if this assert fails 5 (good for debugging!)""
    assert candidate([1, 2, 3, 3, 3, 4]) == False, ""This prints if this assert fails 6 (good for debugging!)""
    assert candidate([1, 2, 2, 3, 3, 4]) == True, ""This prints if this assert fails 7 (good for debugging!)""
    assert candidate([1, 2, 3, 4]) == True, ""This prints if this assert fails 8 (good for debugging!)""

"
gle_Latn,"

def skjkasdkd(lst):
    """"""Tá liosta de líon iomlán tugtha duit. Ní mór duit an luach príomh is mó a aimsiú agus suim a dhigití a thabhairt ar ais. Samplaí: Le haghaidh lst = [0,3,2,1,3,5,7,4,5,5,5,2,181,32,4,32,3,2,32,324,4,3] ba chóir go mbeadh an toradh 10 Le haghaidh lst = [1,0,1,8,2,4597,2,1,3,40,1,2,1,2,4,2,5,1] ba chóir go mbeadh an toradh 25 Le haghaidh lst = [1,3,1,32,5107,34,83278,109,163,23,2323,32,30,1,9,3] ba chóir go mbeadh an toradh 13 Le haghaidh lst = [0,724,32,71,99,32,6,0,5,91,83,0,5,6] ba chóir go mbeadh an toradh 11 Le haghaidh lst = [0,81,12,31,21] ba
    """"""
","    def isPrime(n):
        for i in range(2,int(n**0.5)+1):
            if n%i==0:
                return False

        return True
    maxx = 0
    i = 0
    while i < len(lst):
        if(lst[i] > maxx and isPrime(lst[i])):
            maxx = lst[i]
        i+=1
    result = sum(int(digit) for digit in str(maxx))
    return result

","def check(candidate):

    # Check some simple cases
    assert candidate([0,3,2,1,3,5,7,4,5,5,5,2,181,32,4,32,3,2,32,324,4,3]) == 10, ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate([1,0,1,8,2,4597,2,1,3,40,1,2,1,2,4,2,5,1]) == 25, ""This prints if this assert fails 2 (also good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate([1,3,1,32,5107,34,83278,109,163,23,2323,32,30,1,9,3]) == 13, ""This prints if this assert fails 3 (also good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate([0,724,32,71,99,32,6,0,5,91,83,0,5,6]) == 11, ""This prints if this assert fails 4 (also good for debugging!)""
    
    # Check some edge cases that are easy to work out by hand.
    assert candidate([0,81,12,3,1,21]) == 3, ""This prints if this assert fails 5 (also good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate([0,8,1,2,1,7]) == 7, ""This prints if this assert fails 6 (also good for debugging!)""

    assert candidate([8191]) == 19, ""This prints if this assert fails 7 (also good for debugging!)""
    assert candidate([8191, 123456, 127, 7]) == 19, ""This prints if this assert fails 8 (also good for debugging!)""
    assert candidate([127, 97, 8192]) == 10, ""This prints if this assert fails 9 (also good for debugging!)""
"
glg_Latn,"
def choose_num(x, y):
    """"""Esta función toma dous números positivos x e y e devolve o maior número par que está no rango [x, y] inclusive. Se non hai tal número, entón a función debería devolver -1. Por exemplo: choose_num(12, 15) = 14 choose_num(13, 12) = -1
    """"""
","    if x > y:
        return -1
    if y % 2 == 0:
        return y
    if x == y:
        return -1
    return y - 1
","def check(candidate):

    # Check some simple cases
    assert candidate(12, 15) == 14
    assert candidate(13, 12) == -1
    assert candidate(33, 12354) == 12354
    assert candidate(5234, 5233) == -1
    assert candidate(6, 29) == 28
    assert candidate(27, 10) == -1

    # Check some edge cases that are easy to work out by hand.
    assert candidate(7, 7) == -1
    assert candidate(546, 546) == 546

"
grn_Latn,"
def prod_signs(arr):
    """"""
    Oñeme'ẽ ndéve peteĩ array entero rehegua ha eguereko va'erã suma de magnitudes de los enteros multiplicada por producto de todos los signos de cada número de la matriz, representado por 1, -1 o 0.
    >>> prod_signs([1, 2, 2, -4]) == -9
    >>> prod_signs([0, 1]) == 0
    >>> prod_signs([]) == None
    """"""
","    if not arr: return None
    prod = 0 if 0 in arr else (-1) ** len(list(filter(lambda x: x < 0, arr)))
    return prod * sum([abs(i) for i in arr])
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([1, 2, 2, -4]) == -9
    assert candidate([0, 1]) == 0
    assert candidate([1, 1, 1, 2, 3, -1, 1]) == -10
    assert candidate([]) == None
    assert candidate([2, 4,1, 2, -1, -1, 9]) == 20
    assert candidate([-1, 1, -1, 1]) == 4
    assert candidate([-1, 1, 1, 1]) == -4
    assert candidate([-1, 1, 1, 0]) == 0

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
guj_Gujr,"
def make_a_pile(n):
    """"""
    સકારાત્મક પૂર્ણાંક n આપવામાં આવે છે, તમારે પથ્થરોના n સ્તરોનો ઢગલો બનાવવો પડશે. પ્રથમ સ્તરમાં n પથ્થરો છે. આગલા સ્તરમાં પથ્થરોની સંખ્યા છેઃ - આગામી વિચિત્ર સંખ્યા જો n વિચિત્ર હોય તો - આગામી સંખ્યા જો n પણ હોય તો. દરેક સ્તરમાં પથ્થરોની સંખ્યાને સૂચિમાં પરત કરો, જ્યાં ઇન્ડેક્સ i પર તત્વ સ્તર (i + 1) માં પથ્થરોની સંખ્યાનું પ્રતિનિધિત્વ કરે છે. ઉદાહરણો:
    >>> make_a_pile(3)
    [3, 5, 7]
    """"""
","    return [n + 2*i for i in range(n)]
","def check(candidate):

    # Check some simple cases
    assert candidate(3) == [3, 5, 7], ""Test 3""
    assert candidate(4) == [4,6,8,10], ""Test 4""
    assert candidate(5) == [5, 7, 9, 11, 13]
    assert candidate(6) == [6, 8, 10, 12, 14, 16]
    assert candidate(8) == [8, 10, 12, 14, 16, 18, 20, 22]

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
hat_Latn,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" Pou yon lis bay nan nimewo opinyon, kalkile Mean Absolute Deviation alantou mwayèn nan seri done sa a. Mean Absolute Deviation se mwayèn diferans absoli ant chak eleman ak yon pwen sant (medan nan ka sa a): MAD = mwayèn. x - x_mean. Egzanp:
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

"
hau_Latn,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Shigarwa zuwa wannan aikin shine kirtani wanda ya ƙunshi ƙungiyoyi da yawa na ƙuƙwalwar ƙuƙwalwa. Manufarka ita ce ka raba waɗannan rukunin zuwa cikin jerin tsararru daban-daban kuma ka dawo da jerin waɗanda. Ƙungiyoyi daban-daban suna daidaita (kowane buɗe ƙuƙwalwa an rufe shi da kyau) kuma ba a haɗe cikin juna ba. Ka yi watsi da kowane sarari a cikin kirtani na shigarwa. Misali:
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
"
heb_Hebr,"
def words_in_sentence(sentence):
    """"""
    ניתן לך מחרוזת המייצגת משפט, המשפט מכיל כמה מילים המופרדות על ידי חלל, ואתה צריך להחזיר מחרוזת המכילה את המילים מהמשפט המקורי, שאורכו הם מספרים ראשוניים, סדר המילים בשרשרת החדשה צריך להיות זהה לזה המקורי. דוגמה1: הכניסה: משפט = ""זה מבחן"" הפלט: ""הוא"" דוגמה2: הכניסה: משפט = ""הורשה לך ללכת לשחות"" הפלט: ""ללכת"" מגבלות: * 1 <= len(sentence) <= 100 * משפט מכיל רק אותיות
    """"""
","    new_lst = []
    for word in sentence.split():
        flg = 0
        if len(word) == 1:
            flg = 1
        for i in range(2, len(word)):
            if len(word)%i == 0:
                flg = 1
        if flg == 0 or len(word) == 2:
            new_lst.append(word)
    return "" "".join(new_lst)
","def check(candidate):

    # Check some simple cases
    assert candidate(""This is a test"") == ""is""
    assert candidate(""lets go for swimming"") == ""go for""
    assert candidate(""there is no place available here"") == ""there is no place""
    assert candidate(""Hi I am Hussein"") == ""Hi am Hussein""
    assert candidate(""go for it"") == ""go for it""

    # Check some edge cases that are easy to work out by hand.
    assert candidate(""here"") == """"
    assert candidate(""here is"") == ""is""

"
hin_Deva,"

def largest_prime_factor(n: int):
    """"""n का सबसे बड़ा अभाज्य गुणक लौटाएँ. मान लें कि n > 1 है और अभाज्य नहीं है.
    >>> largest_prime_factor(13195)
    29
    >>> largest_prime_factor(2048)
    2
    """"""
","    def is_prime(k):
        if k < 2:
            return False
        for i in range(2, k - 1):
            if k % i == 0:
                return False
        return True
    largest = 1
    for j in range(2, n + 1):
        if n % j == 0 and is_prime(j):
            largest = max(largest, j)
    return largest
","def check(candidate):
    assert candidate(15) == 5
    assert candidate(27) == 3
    assert candidate(63) == 7
    assert candidate(330) == 11
    assert candidate(13195) == 29

"
hne_Deva,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" आपके करा एक बैंक खाता म जमा अउ निकासी संचालन के एक सूची दिए जात हवय जेहर शून्य शेष राशि के साथ शुरू होत हवय। आपके काम एहर पता लगाना हवय कि काखरो घलो बिंदु म खाता शेष शून्य ले नीचे गिर जात हवय, अउ ओ बिंदु म फ़ंक्शन ल सत्य लौटा देना चाहि। अन्यथा एला गलत लौटा देना चाहि। उदाहरण:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
hrv_Latn,"

def flip_case(string: str) -> str:
    """""" Za dat niz, prebacite male znakove u velike i velike u male.
    >>> flip_case('Hello')
    'hELLO'
    """"""
","    return string.swapcase()
","def check(candidate):
    assert candidate('') == ''
    assert candidate('Hello!') == 'hELLO!'
    assert candidate('These violent delights have violent ends') == 'tHESE VIOLENT DELIGHTS HAVE VIOLENT ENDS'
"
hun_Latn,"
def circular_shift(x, shift):
    """"""Körbe helyezzük az x egész szám számjegyeit, a számjegyek jobbra helyezzük el, és a sztring formájában adja vissza az eredményt. Ha a shift > számjegyek száma, akkor a számjegyek visszafordítva.
    >>> circular_shift(12, 1)
    ""21""
    >>> circular_shift(12, 2)
    ""12""
    """"""
","    s = str(x)
    if shift > len(s):
        return s[::-1]
    else:
        return s[len(s) - shift:] + s[:len(s) - shift]
","def check(candidate):

    # Check some simple cases
    assert candidate(100, 2) == ""001""
    assert candidate(12, 2) == ""12""
    assert candidate(97, 8) == ""79""
    assert candidate(12, 1) == ""21"", ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate(11, 101) == ""11"", ""This prints if this assert fails 2 (also good for debugging!)""

"
hye_Armn,"
def anti_shuffle(s):
    """"""
    Գրեք ֆունկցիա, որը վերցնում է տող եւ վերադարձնում է դրա կարգավորված տարբերակը: Տողի կարգավորված տարբերակը, այն տողն է, որտեղ բոլոր բառերը (տարբերվում են տարածությամբ) փոխարինվում են նոր բառով, որտեղ բոլոր նիշերը դասավորված են աճող կարգով ՝ հիմնված ASCII արժեքի վրա: Նշում. Դուք պետք է պահեք բառերի եւ դատարկ տարածությունների կարգը նախադասությունում: Օրինակ ՝ anti_shuffle ((('Hi ') վերադարձնում է' Hi 'anti_shuffle ((('hello '), վերադարձնում է' ehllo 'anti_shuffle (('Hello World!!!') վերադարձնում է' Hello!!!Wdlor '
    """"""
","    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
","def check(candidate):

    # Check some simple cases
    assert candidate('Hi') == 'Hi'
    assert candidate('hello') == 'ehllo'
    assert candidate('number') == 'bemnru'
    assert candidate('abcd') == 'abcd'
    assert candidate('Hello World!!!') == 'Hello !!!Wdlor'
    assert candidate('') == ''
    assert candidate('Hi. My name is Mister Robot. How are you?') == '.Hi My aemn is Meirst .Rboot How aer ?ouy'
    # Check some edge cases that are easy to work out by hand.
    assert True

"
ibo_Latn,"
def x_or_y(n, x, y):
    """"""Ihe omume dị mfe nke kwesịrị ịlaghachi uru nke x ma ọ bụrụ na n bụ nọmba mbụ ma kwesịrị ịlaghachi uru nke y ma ọ bụghị. Ihe atụ: maka x_or_y(7, 34, 12) == 34 maka x_or_y(15, 8, 5) == 5
    
    """"""
","    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
","def check(candidate):

    # Check some simple cases
    assert candidate(7, 34, 12) == 34
    assert candidate(15, 8, 5) == 5
    assert candidate(3, 33, 5212) == 33
    assert candidate(1259, 3, 52) == 3
    assert candidate(7919, -1, 12) == -1
    assert candidate(3609, 1245, 583) == 583
    assert candidate(91, 56, 129) == 129
    assert candidate(6, 34, 1234) == 1234
    

    # Check some edge cases that are easy to work out by hand.
    assert candidate(1, 2, 0) == 0
    assert candidate(2, 2, 0) == 2

"
ilo_Latn,"
def intersection(interval1, interval2):
    """"""Ti interbario ket addaan ti dua nga interbario, a tunggal interbario ket maysa a pares ti entero a bilang. Kas pagarigan, interbario = (pangrugian, gibus) = (1, 2). Ti naited nga interbario ket naserraan a kaipapananna a ti interbario (pangrugian, gibus) ket mairaman ti rugi ken gibus. Para iti tunggal naited nga interbario, daytoy ket naipagarup a ti rugi ket basbassit wenno kapada ti gibus. Ti trabahoyo ket ti panangikeddeng no ti kaatiddog ti pagsasabatan dagitoy dua nga interbario ket maysa a bilang a primo. Kas pagarigan, ti pagsasabatan dagiti interbario (1, 3), (2, 4) ket (2, 3) nga ti kaatiddogna ket 1, a saan a maysa a bilang a primo. No ti kaatiddog ti pagsasabatan ket maysa a numero a primo, agsubli ti ""
    """"""
","    def is_prime(num):
        if num == 1 or num == 0:
            return False
        if num == 2:
            return True
        for i in range(2, num):
            if num%i == 0:
                return False
        return True

    l = max(interval1[0], interval2[0])
    r = min(interval1[1], interval2[1])
    length = r - l
    if length > 0 and is_prime(length):
        return ""YES""
    return ""NO""
","def check(candidate):

    # Check some simple cases
    assert candidate((1, 2), (2, 3)) == ""NO""
    assert candidate((-1, 1), (0, 4)) == ""NO""
    assert candidate((-3, -1), (-5, 5)) == ""YES""
    assert candidate((-2, 2), (-4, 0)) == ""YES""

    # Check some edge cases that are easy to work out by hand.
    assert candidate((-11, 2), (-1, -1)) == ""NO""
    assert candidate((1, 2), (3, 5)) == ""NO""
    assert candidate((1, 2), (1, 2)) == ""NO""
    assert candidate((-2, -2), (-3, -2)) == ""NO""

"
